Speaker,Org_Title,SpeakerType,CallTranscriptID,Ticker,Year,Quarter
Douglas Anmuth,JPMorgan Chase & Co.,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Heather Bellini,Goldman Sachs Group,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Eric Sheridan,UBS Investment Bank,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Mark Mahaney,RBC Capital Markets,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Brian Nowak,Morgan Stanley,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Ross Sandler,Barclays Bank PLC,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Anthony DiClemente,Evercore ISI,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Daniel Salmon,BMO Capital Markets,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Michael Nathanson,MoffettNathanson,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Stephen Ju,Crédit Suisse AG,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Brent Thill,Jefferies,Analyst,CT_ETN_2018_q1,ETN,2018,q1
Ellen West,"Head, IR",Executive,CT_ETN_2018_q1,ETN,2018,q1
Ruth Porat,SVP & CFO,Executive,CT_ETN_2018_q1,ETN,2018,q1
Sundar Pichai,"Director & CEO, Google",Executive,CT_ETN_2018_q1,ETN,2018,q1
Eric Sheridan,UBS,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Heather Bellini,Goldman Sachs,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Brian Nowak,Morgan Stanley,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Doug Anmuth,JP Morgan,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Anthony DiClemente,Evercore,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Mark Mahaney,RBC Capital Markets,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Dan Salmon,BMO Capital Markets,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Brent Thill,Jefferies,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Colin Sebastian,Robert W. Baird,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Michael Nathanson,MoffettNathanson,Analyst,CT_ETN_2018_q2,ETN,2018,q2
Ellen West,"Head, IR",Executive,CT_ETN_2018_q2,ETN,2018,q2
Sundar Pichai,CEO,Executive,CT_ETN_2018_q2,ETN,2018,q2
Ruth Porat,CFO,Executive,CT_ETN_2018_q2,ETN,2018,q2
Eric J. Sheridan,UBS Securities LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Daniel Salmon,BMO Capital Markets (United States),Analyst,CT_ETN_2018_q3,ETN,2018,q3
Anthony DiClemente,Evercore Group LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Douglas T. Anmuth,JPMorgan Securities LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_ETN_2018_q3,ETN,2018,q3
Michael Brian Nathanson,MoffettNathanson LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Brent Thill,Jefferies LLC,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Justin Post,Bank of America Merrill Lynch,Analyst,CT_ETN_2018_q3,ETN,2018,q3
Ellen West,"Alphabet, Inc.",Executive,CT_ETN_2018_q3,ETN,2018,q3
Ruth Porat,"Alphabet, Inc.",Executive,CT_ETN_2018_q3,ETN,2018,q3
Sundar Pichai,"Alphabet, Inc.",Executive,CT_ETN_2018_q3,ETN,2018,q3
Eric Sheridan,UBS Securities LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Anthony DiClemente,Evercore Group LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Douglas Anmuth,JPMorgan Securities LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Stephen Ju,Credit Suisse AG,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Daniel Salmon,BMO Capital Markets,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Justin Post,Bank of America Merrill Lynch,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_ETN_2018_q4,ETN,2018,q4
Brent Thill,Jefferies LLC,Analyst,CT_ETN_2018_q4,ETN,2018,q4
Ellen West,"Head, IR",Executive,CT_ETN_2018_q4,ETN,2018,q4
Ruth Porat,CFO,Executive,CT_ETN_2018_q4,ETN,2018,q4
Sundar Pichai,CEO,Executive,CT_ETN_2018_q4,ETN,2018,q4
Douglas Anmuth,JPMorgan Chase & Co.,Analyst,CT_FB_2018_q1,FB,2018,q1
Heather Bellini,Goldman Sachs Group,Analyst,CT_FB_2018_q1,FB,2018,q1
Eric Sheridan,UBS Investment Bank,Analyst,CT_FB_2018_q1,FB,2018,q1
Mark Mahaney,RBC Capital Markets,Analyst,CT_FB_2018_q1,FB,2018,q1
Brian Nowak,Morgan Stanley,Analyst,CT_FB_2018_q1,FB,2018,q1
Ross Sandler,Barclays Bank PLC,Analyst,CT_FB_2018_q1,FB,2018,q1
Anthony DiClemente,Evercore ISI,Analyst,CT_FB_2018_q1,FB,2018,q1
Daniel Salmon,BMO Capital Markets,Analyst,CT_FB_2018_q1,FB,2018,q1
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_FB_2018_q1,FB,2018,q1
Michael Nathanson,MoffettNathanson,Analyst,CT_FB_2018_q1,FB,2018,q1
Stephen Ju,Crédit Suisse AG,Analyst,CT_FB_2018_q1,FB,2018,q1
Brent Thill,Jefferies,Analyst,CT_FB_2018_q1,FB,2018,q1
Ellen West,"Head, IR",Executive,CT_FB_2018_q1,FB,2018,q1
Ruth Porat,SVP & CFO,Executive,CT_FB_2018_q1,FB,2018,q1
Sundar Pichai,"Director & CEO, Google",Executive,CT_FB_2018_q1,FB,2018,q1
Eric Sheridan,UBS,Analyst,CT_FB_2018_q2,FB,2018,q2
Heather Bellini,Goldman Sachs,Analyst,CT_FB_2018_q2,FB,2018,q2
Brian Nowak,Morgan Stanley,Analyst,CT_FB_2018_q2,FB,2018,q2
Doug Anmuth,JP Morgan,Analyst,CT_FB_2018_q2,FB,2018,q2
Anthony DiClemente,Evercore,Analyst,CT_FB_2018_q2,FB,2018,q2
Mark Mahaney,RBC Capital Markets,Analyst,CT_FB_2018_q2,FB,2018,q2
Dan Salmon,BMO Capital Markets,Analyst,CT_FB_2018_q2,FB,2018,q2
Brent Thill,Jefferies,Analyst,CT_FB_2018_q2,FB,2018,q2
Colin Sebastian,Robert W. Baird,Analyst,CT_FB_2018_q2,FB,2018,q2
Michael Nathanson,MoffettNathanson,Analyst,CT_FB_2018_q2,FB,2018,q2
Ellen West,"Head, IR",Executive,CT_FB_2018_q2,FB,2018,q2
Sundar Pichai,CEO,Executive,CT_FB_2018_q2,FB,2018,q2
Ruth Porat,CFO,Executive,CT_FB_2018_q2,FB,2018,q2
Eric J. Sheridan,UBS Securities LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Daniel Salmon,BMO Capital Markets (United States),Analyst,CT_FB_2018_q3,FB,2018,q3
Anthony DiClemente,Evercore Group LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Douglas T. Anmuth,JPMorgan Securities LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_FB_2018_q3,FB,2018,q3
Michael Brian Nathanson,MoffettNathanson LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Brent Thill,Jefferies LLC,Analyst,CT_FB_2018_q3,FB,2018,q3
Justin Post,Bank of America Merrill Lynch,Analyst,CT_FB_2018_q3,FB,2018,q3
Ellen West,"Alphabet, Inc.",Executive,CT_FB_2018_q3,FB,2018,q3
Ruth Porat,"Alphabet, Inc.",Executive,CT_FB_2018_q3,FB,2018,q3
Sundar Pichai,"Alphabet, Inc.",Executive,CT_FB_2018_q3,FB,2018,q3
Eric Sheridan,UBS Securities LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Anthony DiClemente,Evercore Group LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Douglas Anmuth,JPMorgan Securities LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Stephen Ju,Credit Suisse AG,Analyst,CT_FB_2018_q4,FB,2018,q4
Daniel Salmon,BMO Capital Markets,Analyst,CT_FB_2018_q4,FB,2018,q4
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_FB_2018_q4,FB,2018,q4
Justin Post,Bank of America Merrill Lynch,Analyst,CT_FB_2018_q4,FB,2018,q4
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_FB_2018_q4,FB,2018,q4
Brent Thill,Jefferies LLC,Analyst,CT_FB_2018_q4,FB,2018,q4
Ellen West,"Head, IR",Executive,CT_FB_2018_q4,FB,2018,q4
Ruth Porat,CFO,Executive,CT_FB_2018_q4,FB,2018,q4
Sundar Pichai,CEO,Executive,CT_FB_2018_q4,FB,2018,q4
Douglas Anmuth,JPMorgan Chase & Co.,Analyst,CT_GE_2018_q1,GE,2018,q1
Heather Bellini,Goldman Sachs Group,Analyst,CT_GE_2018_q1,GE,2018,q1
Eric Sheridan,UBS Investment Bank,Analyst,CT_GE_2018_q1,GE,2018,q1
Mark Mahaney,RBC Capital Markets,Analyst,CT_GE_2018_q1,GE,2018,q1
Brian Nowak,Morgan Stanley,Analyst,CT_GE_2018_q1,GE,2018,q1
Ross Sandler,Barclays Bank PLC,Analyst,CT_GE_2018_q1,GE,2018,q1
Anthony DiClemente,Evercore ISI,Analyst,CT_GE_2018_q1,GE,2018,q1
Daniel Salmon,BMO Capital Markets,Analyst,CT_GE_2018_q1,GE,2018,q1
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_GE_2018_q1,GE,2018,q1
Michael Nathanson,MoffettNathanson,Analyst,CT_GE_2018_q1,GE,2018,q1
Stephen Ju,Crédit Suisse AG,Analyst,CT_GE_2018_q1,GE,2018,q1
Brent Thill,Jefferies,Analyst,CT_GE_2018_q1,GE,2018,q1
Ellen West,"Head, IR",Executive,CT_GE_2018_q1,GE,2018,q1
Ruth Porat,SVP & CFO,Executive,CT_GE_2018_q1,GE,2018,q1
Sundar Pichai,"Director & CEO, Google",Executive,CT_GE_2018_q1,GE,2018,q1
Eric Sheridan,UBS,Analyst,CT_GE_2018_q2,GE,2018,q2
Heather Bellini,Goldman Sachs,Analyst,CT_GE_2018_q2,GE,2018,q2
Brian Nowak,Morgan Stanley,Analyst,CT_GE_2018_q2,GE,2018,q2
Doug Anmuth,JP Morgan,Analyst,CT_GE_2018_q2,GE,2018,q2
Anthony DiClemente,Evercore,Analyst,CT_GE_2018_q2,GE,2018,q2
Mark Mahaney,RBC Capital Markets,Analyst,CT_GE_2018_q2,GE,2018,q2
Dan Salmon,BMO Capital Markets,Analyst,CT_GE_2018_q2,GE,2018,q2
Brent Thill,Jefferies,Analyst,CT_GE_2018_q2,GE,2018,q2
Colin Sebastian,Robert W. Baird,Analyst,CT_GE_2018_q2,GE,2018,q2
Michael Nathanson,MoffettNathanson,Analyst,CT_GE_2018_q2,GE,2018,q2
Ellen West,"Head, IR",Executive,CT_GE_2018_q2,GE,2018,q2
Sundar Pichai,CEO,Executive,CT_GE_2018_q2,GE,2018,q2
Ruth Porat,CFO,Executive,CT_GE_2018_q2,GE,2018,q2
Eric J. Sheridan,UBS Securities LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Daniel Salmon,BMO Capital Markets (United States),Analyst,CT_GE_2018_q3,GE,2018,q3
Anthony DiClemente,Evercore Group LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Douglas T. Anmuth,JPMorgan Securities LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_GE_2018_q3,GE,2018,q3
Michael Brian Nathanson,MoffettNathanson LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Brent Thill,Jefferies LLC,Analyst,CT_GE_2018_q3,GE,2018,q3
Justin Post,Bank of America Merrill Lynch,Analyst,CT_GE_2018_q3,GE,2018,q3
Ellen West,"Alphabet, Inc.",Executive,CT_GE_2018_q3,GE,2018,q3
Ruth Porat,"Alphabet, Inc.",Executive,CT_GE_2018_q3,GE,2018,q3
Sundar Pichai,"Alphabet, Inc.",Executive,CT_GE_2018_q3,GE,2018,q3
Eric Sheridan,UBS Securities LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Anthony DiClemente,Evercore Group LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Douglas Anmuth,JPMorgan Securities LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Stephen Ju,Credit Suisse AG,Analyst,CT_GE_2018_q4,GE,2018,q4
Daniel Salmon,BMO Capital Markets,Analyst,CT_GE_2018_q4,GE,2018,q4
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_GE_2018_q4,GE,2018,q4
Justin Post,Bank of America Merrill Lynch,Analyst,CT_GE_2018_q4,GE,2018,q4
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_GE_2018_q4,GE,2018,q4
Brent Thill,Jefferies LLC,Analyst,CT_GE_2018_q4,GE,2018,q4
Ellen West,"Head, IR",Executive,CT_GE_2018_q4,GE,2018,q4
Ruth Porat,CFO,Executive,CT_GE_2018_q4,GE,2018,q4
Sundar Pichai,CEO,Executive,CT_GE_2018_q4,GE,2018,q4
Eric J. Sheridan,UBS Securities LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Daniel Salmon,BMO Capital Markets (United States),Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Anthony DiClemente,Evercore Group LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Douglas T. Anmuth,JPMorgan Securities LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Michael Brian Nathanson,MoffettNathanson LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Brent Thill,Jefferies LLC,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Justin Post,Bank of America Merrill Lynch,Analyst,CT_GOOGL_2018_q3,GOOGL,2018,q3
Ellen West,"Alphabet, Inc.",Executive,CT_GOOGL_2018_q3,GOOGL,2018,q3
Ruth Porat,"Alphabet, Inc.",Executive,CT_GOOGL_2018_q3,GOOGL,2018,q3
Sundar Pichai,"Alphabet, Inc.",Executive,CT_GOOGL_2018_q3,GOOGL,2018,q3
Eric Sheridan,UBS Securities LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Anthony DiClemente,Evercore Group LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Douglas Anmuth,JPMorgan Securities LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Heather Bellini,Goldman Sachs & Co. LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Brian Nowak,Morgan Stanley & Co. LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Mark Mahaney,RBC Capital Markets LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Stephen Ju,Credit Suisse AG,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Daniel Salmon,BMO Capital Markets,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Justin Post,Bank of America Merrill Lynch,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Ross Sandler,"Barclays Capital, Inc.",Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Brent Thill,Jefferies LLC,Analyst,CT_GOOGL_2018_q4,GOOGL,2018,q4
Ellen West,"Head, IR",Executive,CT_GOOGL_2018_q4,GOOGL,2018,q4
Ruth Porat,CFO,Executive,CT_GOOGL_2018_q4,GOOGL,2018,q4
Sundar Pichai,CEO,Executive,CT_GOOGL_2018_q4,GOOGL,2018,q4
Douglas Anmuth,JPMorgan Chase & Co.,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Heather Bellini,Goldman Sachs Group,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Eric Sheridan,UBS Investment Bank,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Mark Mahaney,RBC Capital Markets,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Brian Nowak,Morgan Stanley,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Ross Sandler,Barclays Bank PLC,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Anthony DiClemente,Evercore ISI,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Daniel Salmon,BMO Capital Markets,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Colin Sebastian,Robert W. Baird & Co.,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Michael Nathanson,MoffettNathanson,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Stephen Ju,Crédit Suisse AG,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Brent Thill,Jefferies,Analyst,CT_GOOG_2018_q1,GOOG,2018,q1
Ellen West,"Head, IR",Executive,CT_GOOG_2018_q1,GOOG,2018,q1
Ruth Porat,SVP & CFO,Executive,CT_GOOG_2018_q1,GOOG,2018,q1
Sundar Pichai,"Director & CEO, Google",Executive,CT_GOOG_2018_q1,GOOG,2018,q1
Eric Sheridan,UBS,Analyst,CT_GOOG_2018_q2,GOOG,2018,q2
Heather Bellini,Goldman Sachs,Analyst,CT_GOOG_2018_q2,GOOG,2018,q2
Brian Nowak,Morgan Stanley,Analyst,CT_GOOG_2018_q2,GOOG,2018,q2
