,0,1,2,3,4,5
1,1000045,NICHOLAS FINANCIAL INC,10-Q,2018-02-09,edgar/data/1000045/0001193125-18-037381.txt,edgar/data/1000045/0001193125-18-037381-index.html
171,1000230,OPTICAL CABLE CORP,10-Q,2018-03-13,edgar/data/1000230/0001437749-18-004449.txt,edgar/data/1000230/0001437749-18-004449-index.html
777,1001039,WALT DISNEY CO/,10-Q,2018-02-06,edgar/data/1001039/0001628280-18-001147.txt,edgar/data/1001039/0001628280-18-001147-index.html
867,1001115,GEOSPACE TECHNOLOGIES CORP,10-Q,2018-02-07,edgar/data/1001115/0001564590-18-001474.txt,edgar/data/1001115/0001564590-18-001474-index.html
925,1001250,ESTEE LAUDER COMPANIES INC,10-Q,2018-02-02,edgar/data/1001250/0001104659-18-006059.txt,edgar/data/1001250/0001104659-18-006059-index.html
1080,1001907,ASTROTECH Corp,10-Q,2018-02-12,edgar/data/1001907/0001001907-18-000015.txt,edgar/data/1001907/0001001907-18-000015-index.html
1092,1002037,"LEARNING TREE INTERNATIONAL, INC.",10-Q,2018-02-08,edgar/data/1002037/0001437749-18-002067.txt,edgar/data/1002037/0001437749-18-002067-index.html
1101,1002047,"NetApp, Inc.",10-Q,2018-02-22,edgar/data/1002047/0001564590-18-002876.txt,edgar/data/1002047/0001564590-18-002876-index.html
1121,1002135,WESTELL TECHNOLOGIES INC,10-Q,2018-02-09,edgar/data/1002135/0001002135-18-000008.txt,edgar/data/1002135/0001002135-18-000008-index.html
1145,1002517,"Nuance Communications, Inc.",10-Q,2018-02-09,edgar/data/1002517/0001002517-18-000017.txt,edgar/data/1002517/0001002517-18-000017-index.html
1175,1002590,"STAR GROUP, L.P.",10-Q,2018-01-31,edgar/data/1002590/0001564590-18-001143.txt,edgar/data/1002590/0001564590-18-001143-index.html
1199,1002638,OPEN TEXT CORP,10-Q,2018-01-31,edgar/data/1002638/0001002638-18-000003.txt,edgar/data/1002638/0001002638-18-000003-index.html
1290,1003078,MSC INDUSTRIAL DIRECT CO INC,10-Q,2018-01-10,edgar/data/1003078/0001003078-18-000011.txt,edgar/data/1003078/0001003078-18-000011-index.html
1464,100378,TWIN DISC INC,10-Q,2018-02-06,edgar/data/100378/0001437749-18-001762.txt,edgar/data/100378/0001437749-18-001762-index.html
1701,10048,BARNWELL INDUSTRIES INC,10-Q,2018-02-12,edgar/data/10048/0000010048-18-000002.txt,edgar/data/10048/0000010048-18-000002-index.html
1713,100493,TYSON FOODS INC,10-Q,2018-02-08,edgar/data/100493/0000100493-18-000017.txt,edgar/data/100493/0000100493-18-000017-index.html
1833,1005101,CONCIERGE TECHNOLOGIES INC,10-Q,2018-02-14,edgar/data/1005101/0001437749-18-002573.txt,edgar/data/1005101/0001437749-18-002573-index.html
1900,1005210,SUBURBAN PROPANE PARTNERS LP,10-Q,2018-02-08,edgar/data/1005210/0001564590-18-001636.txt,edgar/data/1005210/0001564590-18-001636-index.html
1914,1005229,COLUMBUS MCKINNON CORP,10-Q,2018-02-06,edgar/data/1005229/0001005229-18-000014.txt,edgar/data/1005229/0001005229-18-000014-index.html
1952,1005276,MOHEGAN TRIBAL GAMING AUTHORITY,10-Q,2018-02-14,edgar/data/1005276/0001005276-18-000004.txt,edgar/data/1005276/0001005276-18-000004-index.html
1995,1005286,LANDEC CORP \CA\,10-Q,2018-01-05,edgar/data/1005286/0001437749-18-000336.txt,edgar/data/1005286/0001437749-18-000336-index.html
2047,100548,UGI UTILITIES INC,10-Q,2018-02-06,edgar/data/100548/0000100548-18-000006.txt,edgar/data/100548/0000100548-18-000006-index.html
2100,1005731,IDT CORP,10-Q,2018-03-12,edgar/data/1005731/0001213900-18-002826.txt,edgar/data/1005731/0001213900-18-002826-index.html
2281,1006028,"PURE BIOSCIENCE, INC.",10-Q,2018-03-14,edgar/data/1006028/0001493152-18-003340.txt,edgar/data/1006028/0001493152-18-003340-index.html
2477,1006655,EVOLUTION PETROLEUM CORP,10-Q,2018-02-08,edgar/data/1006655/0001006655-18-000004.txt,edgar/data/1006655/0001006655-18-000004-index.html
2491,1006830,CONSUMERS BANCORP INC /OH/,10-Q,2018-02-14,edgar/data/1006830/0001437749-18-002445.txt,edgar/data/1006830/0001437749-18-002445-index.html
2533,1007019,COFFEE HOLDING CO INC,10-Q,2018-03-07,edgar/data/1007019/0001493152-18-003033.txt,edgar/data/1007019/0001493152-18-003033-index.html
