"X","X0","X1","X2","X3","X4","X5"
69,1000209,"MEDALLION FINANCIAL CORP","10-K","2018-03-14","edgar/data/1000209/0001193125-18-082402.txt","edgar/data/1000209/0001193125-18-082402-index.html"
93,1000228,"HENRY SCHEIN INC","10-K","2018-02-21","edgar/data/1000228/0001000228-18-000012.txt","edgar/data/1000228/0001000228-18-000012-index.html"
145,1000229,"CORE LABORATORIES N V","10-K","2018-02-12","edgar/data/1000229/0001000229-18-000025.txt","edgar/data/1000229/0001000229-18-000025-index.html"
180,1000232,"KENTUCKY BANCSHARES INC /KY/","10-K","2018-03-16","edgar/data/1000232/0001558370-18-002201.txt","edgar/data/1000232/0001558370-18-002201-index.html"
633,1000298,"IMPAC MORTGAGE HOLDINGS INC","10-K","2018-03-16","edgar/data/1000298/0001558370-18-002168.txt","edgar/data/1000298/0001558370-18-002168-index.html"
651,1000623,"SCHWEITZER MAUDUIT INTERNATIONAL INC","10-K","2018-03-01","edgar/data/1000623/0001000623-18-000044.txt","edgar/data/1000623/0001000623-18-000044-index.html"
690,1000694,"NOVAVAX INC","10-K","2018-03-14","edgar/data/1000694/0001144204-18-014686.txt","edgar/data/1000694/0001144204-18-014686-index.html"
701,1000697,"WATERS CORP /DE/","10-K","2018-02-27","edgar/data/1000697/0001193125-18-060830.txt","edgar/data/1000697/0001193125-18-060830-index.html"
740,1000753,"INSPERITY, INC.","10-K","2018-02-12","edgar/data/1000753/0001000753-18-000015.txt","edgar/data/1000753/0001000753-18-000015-index.html"
808,1001082,"DISH Network CORP","10-K","2018-02-21","edgar/data/1001082/0001558370-18-000826.txt","edgar/data/1001082/0001558370-18-000826-index.html"
886,1001171,"BROADWAY FINANCIAL CORP \DE\","10-K","2018-03-26","edgar/data/1001171/0001047469-18-002146.txt","edgar/data/1001171/0001047469-18-002146-index.html"
897,100122,"TUCSON ELECTRIC POWER CO","10-K","2018-02-15","edgar/data/100122/0000100122-18-000005.txt","edgar/data/100122/0000100122-18-000005-index.html"
898,1001233,"SANGAMO THERAPEUTICS, INC","10-K","2018-03-01","edgar/data/1001233/0001564590-18-004163.txt","edgar/data/1001233/0001564590-18-004163-index.html"
985,1001316,"TG THERAPEUTICS, INC.","10-K","2018-03-15","edgar/data/1001316/0001654954-18-002638.txt","edgar/data/1001316/0001654954-18-002638-index.html"
998,1001385,"NORTHWEST PIPE CO","10-K","2018-03-16","edgar/data/1001385/0001437749-18-004857.txt","edgar/data/1001385/0001437749-18-004857-index.html"
1026,1001614,"TENGASCO INC","10-K","2018-03-28","edgar/data/1001614/0001140361-18-015512.txt","edgar/data/1001614/0001140361-18-015512-index.html"
1042,1001838,"SOUTHERN COPPER CORP/","10-K","2018-03-01","edgar/data/1001838/0001047469-18-001211.txt","edgar/data/1001838/0001047469-18-001211-index.html"
1050,1001902,"INTEVAC INC","10-K","2018-02-14","edgar/data/1001902/0001193125-18-045618.txt","edgar/data/1001902/0001193125-18-045618-index.html"
1231,1002910,"AMEREN CORP","10-K","2018-02-28","edgar/data/1002910/0001002910-18-000069.txt","edgar/data/1002910/0001002910-18-000069-index.html"
1351,1003201,"MMA CAPITAL MANAGEMENT, LLC","10-K","2018-03-16","edgar/data/1003201/0001144204-18-015067.txt","edgar/data/1003201/0001144204-18-015067-index.html"
1395,1003410,"DUKE REALTY LIMITED PARTNERSHIP/","10-K","2018-02-16","edgar/data/1003410/0000783280-18-000012.txt","edgar/data/1003410/0000783280-18-000012-index.html"
1409,1003509,"AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST","10-K","2018-03-26","edgar/data/1003509/0001193125-18-096155.txt","edgar/data/1003509/0001193125-18-096155-index.html"
1425,1003642,"IMPAX LABORATORIES INC","10-K","2018-03-01","edgar/data/1003642/0001003642-18-000038.txt","edgar/data/1003642/0001003642-18-000038-index.html"
1473,1003815,"BCTC IV ASSIGNOR CORP","10-K","2018-03-16","edgar/data/1003815/0001003815-18-000004.txt","edgar/data/1003815/0001003815-18-000004-index.html"
1493,1004036,"TANGER PROPERTIES LTD PARTNERSHIP /NC/","10-K","2018-02-22","edgar/data/1004036/0000899715-18-000070.txt","edgar/data/1004036/0000899715-18-000070-index.html"
1497,1004155,"SOUTHERN Co GAS","10-K","2018-02-21","edgar/data/1004155/0000092122-18-000012.txt","edgar/data/1004155/0000092122-18-000012-index.html"
1543,1004434,"AFFILIATED MANAGERS GROUP, INC.","10-K","2018-02-23","edgar/data/1004434/0001004434-18-000004.txt","edgar/data/1004434/0001004434-18-000004-index.html"
1623,1004702,"OCEANFIRST FINANCIAL CORP","10-K","2018-02-28","edgar/data/1004702/0001004702-18-000078.txt","edgar/data/1004702/0001004702-18-000078-index.html"
1734,1004980,"PG&E Corp","10-K","2018-02-09","edgar/data/1004980/0001004980-18-000003.txt","edgar/data/1004980/0001004980-18-000003-index.html"
1838,100517,"United Continental Holdings, Inc.","10-K","2018-02-22","edgar/data/100517/0001193125-18-054235.txt","edgar/data/100517/0001193125-18-054235-index.html"
1881,1005201,"DEPOMED INC","10-K","2018-03-01","edgar/data/1005201/0001558370-18-001325.txt","edgar/data/1005201/0001558370-18-001325-index.html"
